seed,T1_ospa2d,T1_compl,T1_amb,T1_spur,T1_pa2d,T1_va2d,T1_t2t,T2_ospa2d,T2_compl,T2_amb,T2_spur,T2_pa2d,T2_va2d,T2_t2t,Tf_ospa2d,Tf_compl,Tf_amb,Tf_spur,Tf_pa2d,Tf_va2d,Tf_t2t,T1_ospa3d,T1_pa3d,T1_va3d,Tf_ospa3d,Tf_pa3d,Tf_va3d,radar_ntracks,rfdoa_ntracks,fused_ntracks
351,26.15729463449641,0.6833333333333333,1.0,0.15637860082304528,17.16842012983266,3.848118709854665,0.81,48.902870892799136,0.016666666666666666,1.0,0.9683544303797469,26.863018045302,6.279885872443126,0.5266666666666666,28.696073079272477,0.5766666666666667,1.0,0.38434163701067614,15.772576680431603,3.6623571847338,0.9366666666666666,48.15837142877496,35.49615055434069,4.814859400469547,52.892900526568724,36.370639853344,4.694227874705993,1,1,1
2,16.025957831852317,0.8766666666666667,1.0,0.08996539792387544,11.985937585713636,3.2897552555173495,0.9633333333333334,40.64216313589075,0.20666666666666667,1.0,0.7809187279151943,20.1528895656383,4.634147627021076,0.9433333333333334,19.80577593896756,0.7833333333333333,1.0,0.12962962962962962,12.383122465449986,3.4985837194043903,0.9,25.09214677439768,21.149628183576528,4.017348006273206,31.77586809006019,23.05549032713554,4.2648246593765,1,1,1
327,26.52542487928882,0.6,1.0,0.37282229965156793,17.676514782508306,3.4157536784606197,0.9566666666666667,47.59186487054311,0.02666666666666667,1.0,0.9747634069400631,22.106235706689105,6.03127365331368,1.0566666666666666,31.2211854916165,0.42,1.0,0.5280898876404494,18.757594882048327,3.7774439429295383,0.89,47.92519972353017,42.88832134201669,4.848110730623129,54.04269231425354,45.530678486495205,4.729963567834273,1,2,1
169,41.07746006152369,0.24666666666666667,1.0,0.5,18.20191821810171,5.105126206871143,0.49333333333333335,nan,nan,nan,nan,nan,nan,nan,44.23081161594709,0.16,1.0,0.5384615384615384,17.193456124402385,3.7016214295530734,0.3466666666666667,77.90345962221555,39.42395223550999,6.692598052269216,85.89593870269672,42.821373119040786,5.244207940229607,2,0,2
481,26.727559379253428,0.6366666666666667,1.0,0.2074688796680498,15.792642910034145,3.92870709372788,0.8033333333333333,46.539097924519474,0.14,1.0,0.8923076923076924,19.125832292883555,6.301089124178679,1.3,27.956936984845804,0.6333333333333333,1.0,0.1592920353982301,16.224174835236056,4.089548500739474,0.7533333333333333,47.411213517991804,33.43191584555925,5.054187343778583,51.035608321015495,32.925490850706176,4.863045784572423,1,2,1
89,28.46386101950146,0.5466666666666666,1.0,0.18407960199004975,10.947125534045293,3.5098136176950567,0.67,43.97443083741025,0.12,1.0,0.8074866310160428,19.249779330888636,5.352010213895485,0.6233333333333333,30.763348763036678,0.49666666666666665,1.0,0.18579234972677597,11.97703499876376,3.606940797986524,0.61,59.02777359697537,28.54229966349832,5.241827793017919,55.818578395196816,22.032785403288525,4.4908532822824485,2,1,1
166,40.30076343786572,0.24333333333333335,1.0,0.5197368421052632,18.122619336220552,4.494094864007731,0.5066666666666667,46.95538989989744,0.06,1.0,0.8807947019867549,17.564130045937077,4.10228740190502,0.5033333333333333,44.81798361893956,0.11333333333333333,1.0,0.7364341085271318,17.41448145814052,3.237802309017086,0.43,78.31803561387837,44.859055752362195,6.351336390852669,85.29441366569891,53.067277656485864,5.175611565698837,2,1,1
16,33.841715960145365,0.4666666666666667,1.0,0.24324324324324326,18.493719180660573,3.4723285565508584,0.6166666666666667,47.370647369014286,0.05,1.0,0.9184782608695652,17.027015028970844,5.1275756427199015,0.6133333333333333,36.2143819990486,0.4066666666666667,1.0,0.29069767441860467,18.46096271004423,3.2991982467316117,0.5733333333333334,66.41592587074497,42.098372886648605,5.102614978801132,70.95271297976066,43.78527115614215,4.42823576333306,1,1,1
6,39.82421288459839,0.27,1.0,0.39097744360902253,19.105151636637416,3.2310483351343318,0.44333333333333336,nan,nan,nan,nan,nan,nan,nan,40.60338371818733,0.2633333333333333,1.0,0.3305084745762712,18.62551962202945,3.257313994708321,0.3933333333333333,81.52221457549707,48.6780119707722,4.899117907890691,82.37778329874135,45.82227072048928,4.495252736953811,1,0,1
61,13.529935283839382,0.97,1.0,0.06129032258064516,12.129070043749893,3.156717141496452,1.0333333333333334,37.248354283212734,0.2733333333333333,1.0,0.7266666666666667,18.676912751383455,5.237695037457562,1.0,19.53327950305821,0.8233333333333334,1.0,0.11151079136690648,13.880893372886254,3.297106869824785,0.9266666666666666,24.233555822942776,23.198361712840093,4.266050205352586,45.333327590271836,40.57970390246939,4.137862556753083,2,1,1
101,31.44899022763586,0.5066666666666667,1.0,0.2962962962962963,16.440842695980542,4.15519884830994,0.72,43.74028843540185,0.14,1.0,0.776595744680851,17.937270346153547,6.241104460067492,0.6266666666666667,33.76023054112612,0.48,1.0,0.2835820895522388,18.891839124369163,4.4137332760767665,0.67,52.99775626299488,33.86435103914541,5.304884728985502,58.22720001704217,36.707878813700255,5.322367335975692,1,1,1
401,29.093684302303142,0.6,1.011111111111111,0.30268199233716475,16.597938946275754,3.856818999268279,0.87,nan,nan,nan,nan,nan,nan,nan,30.45861925213127,0.5433333333333333,1.0,0.27555555555555555,16.423345092744544,4.084681759525242,0.75,66.8735291375807,51.957730980306934,5.608678956358547,67.15206421711922,52.23416295649562,5.354855056713861,2,0,2
33,26.226623181405877,0.6466666666666666,1.0,0.35333333333333333,18.399677492110808,4.075180456923118,1.0,46.495468915396174,0.19,1.0526315789473684,0.91701244813278,18.932906890342203,5.471739261268794,2.41,26.50985080695642,0.6333333333333333,1.0,0.31899641577060933,18.036057145048957,3.952093831880557,0.93,44.64705060790976,43.34106091122242,4.912518527837137,48.61607681113014,44.81663419973325,4.5724896242142465,1,3,1
9,29.813278220685778,0.5433333333333333,1.0,0.44745762711864406,16.887511856657333,4.176473870488467,0.9833333333333333,nan,nan,nan,nan,nan,nan,nan,31.396060506243078,0.49333333333333335,1.0,0.38333333333333336,16.772731341919926,4.052905124293192,0.8,62.38191646628412,46.34734718535841,5.935182067099141,63.796065390024815,45.031855837806276,5.515552541716044,2,0,2
90,32.259555226886434,0.36333333333333334,1.0,0.6342281879194631,18.328248809282353,3.5297760459439536,0.9933333333333333,47.12089238050691,0.08333333333333333,1.0,0.9056603773584906,22.026695787547354,6.570463252596627,0.8833333333333333,41.969983726907884,0.14666666666666667,1.0,0.8394160583941606,18.159941701533906,4.609860335338747,0.9133333333333333,64.41938290587565,55.88151666621219,5.870202852678402,81.14938997672341,59.81272798275668,5.796450982059756,2,1,2
35,28.331715448552554,0.5766666666666667,1.0,0.22072072072072071,15.18568214337088,3.9982301362320687,0.74,41.587132317838844,0.17333333333333334,1.0,0.7603686635944701,17.978028432567772,4.36358140059328,0.7233333333333334,31.117084351434883,0.49666666666666665,1.0,0.28019323671497587,15.826192252511573,4.228730455731593,0.69,50.89377505234033,32.42262621881698,5.124115877550373,56.26424451218709,34.06670026962879,5.258705204679475,1,1,1
53,24.755284699890446,0.6166666666666667,1.0,0.07035175879396985,10.311297357302738,3.321662722732802,0.6633333333333333,47.651788307469296,0.056666666666666664,1.0,0.9128205128205128,21.920912240267114,7.46393911719699,0.65,26.820462346473548,0.5966666666666667,1.0,0.08205128205128205,11.151612871184717,3.4483236146136664,0.65,48.89961971668634,22.964250829175384,3.793303249129571,54.085966582405554,23.89939212553408,3.812620713193128,1,1,1
